User_id,Name,Email,Password,Signup_date,Country
1,Donald Walker,user1@musicapp.com,+&1#4Px2aS4V,2022-08-22,Guam
2,Tyler Rogers,user2@musicapp.com,@6lgRyGSnXDl,2024-01-22,Denmark
3,Dr. Sharon James,user3@musicapp.com,*bdF^lR6M75c,2024-02-27,Denmark
4,Jennifer Jones,user4@musicapp.com,O5G__hRu)VEz,2021-12-19,Saudi Arabia
5,Brittany Moore,user5@musicapp.com,GW_66vTcrhiD,2022-02-04,Afghanistan
6,Pamela Romero,user6@musicapp.com,@+iUqR!B@4rn,2023-12-08,Yemen
7,John Jones,user7@musicapp.com,N27EJ3Rv(Bza,2022-05-13,Czech Republic
8,Kevin Hall,user8@musicapp.com,Y$t0^5Cw)vUM,2022-03-28,Bhutan
9,Jason Shields,user9@musicapp.com,!1(2R_1Mm^Bp,2025-05-12,Taiwan
10,Tammy Allison,user10@musicapp.com,3H6#y7kpJwzP,2021-10-26,French Polynesia
11,Lauren Daniels,user11@musicapp.com,+bpBx^1Wb5(r,2023-07-19,Italy
12,Emily Green,user12@musicapp.com,H_A5HiLzz^37,2026-08-29,Cayman Islands
13,Michele Carr,user13@musicapp.com,mAbvA(*v_W83,2025-06-03,El Salvador
14,Jeff Hill,user14@musicapp.com,!75SY!ersSnV,2022-02-15,Haiti
15,Christine Wright,user15@musicapp.com,rIX@uprlr@5Y,2022-01-12,Ethiopia
16,Ashley Brennan,user16@musicapp.com,3oq4aG8^*DPc,2023-01-18,Turkey
17,Victor Baker,user17@musicapp.com,fBW@Gl6e!u9N,2023-12-01,Jersey
18,Tammie Hanson,user18@musicapp.com,_bC1X2jGh0UI,2022-04-16,Solomon Islands
19,Erica Ramos,user19@musicapp.com,_x3Q9bXpw5Al,2026-08-17,New Zealand
20,Stephen Johnston,user20@musicapp.com,6+6hi*JmwQP6,2022-04-25,Marshall Islands
21,Tiffany Vance,user21@musicapp.com,K+p8Nr8j)5Ke,2026-06-13,Belgium
22,James Hernandez,user22@musicapp.com,CM%nNin@$UN1,2022-11-14,Saint Pierre and Miquelon
23,Stephanie Freeman,user23@musicapp.com,%b6fouPatVb&,2026-05-04,Eritrea
24,Jesse Rogers,user24@musicapp.com,&&YnzDaja4w2,2024-12-01,Brunei Darussalam
25,Kristy Robinson,user25@musicapp.com,04h+mx*@BlwY,2025-09-21,Portugal
26,Raymond Jefferson,user26@musicapp.com,jD1FPDsm)xZZ,2023-10-05,Pakistan
27,Tamara Hampton,user27@musicapp.com,7pn6XsMXG*o1,2023-12-29,Reunion
28,Kellie Lee,user28@musicapp.com,idZOkPrd$VN6,2024-01-17,Guinea
29,David Martinez,user29@musicapp.com,$i54xfyQ8*2D,2025-07-21,Martinique
30,William Tran,user30@musicapp.com,+qyMK1$vN2U^,2022-10-09,Yemen
31,David Grant,user31@musicapp.com,X&GTzVJU%x9i,2024-04-11,Cayman Islands
32,Benjamin Smith,user32@musicapp.com,#9*Pj57kVl9(,2023-09-26,Sweden
33,Christopher Parker,user33@musicapp.com,+cdvoO^#J9J&,2022-11-26,Morocco
34,Casey Stone,user34@musicapp.com,4FxMIB*s*ObH,2022-01-13,Germany
35,Wayne Powell,user35@musicapp.com,(%QrOK$7)0VN,2023-11-04,Russian Federation
36,Adam Russell,user36@musicapp.com,Z$19dINML_2O,2023-01-16,Sierra Leone
37,Richard Adams,user37@musicapp.com,!UaXLNjiF4qy,2025-03-23,Ghana
38,Roberta Hughes,user38@musicapp.com,)xC*Pbt@__x2,2025-09-19,Indonesia
39,Sarah Villarreal,user39@musicapp.com,r&5X5c9w&yiU,2022-05-18,French Southern Territories
40,Robert Carter,user40@musicapp.com,^Tk0EqXht_66,2021-12-09,United Arab Emirates
41,Brooke Alexander,user41@musicapp.com,^dLAJpuGE99@,2024-02-21,Mongolia
42,Natasha Wall,user42@musicapp.com,EZ3cfzoYs%AT,2022-02-10,Bermuda
43,Jason Gonzalez,user43@musicapp.com,tn7nNlqD(x5Q,2024-03-15,Haiti
44,Alexis Herrera,user44@musicapp.com,bVmvV5@xTt*5,2022-06-18,Ireland
45,Tracy Torres,user45@musicapp.com,*_LbDwhg+I*1,2022-09-08,Heard Island and McDonald Islands
46,Trevor Foley,user46@musicapp.com,Eu5RoLbZW@k6,2023-07-18,Switzerland
47,Daniel Kane,user47@musicapp.com,^p2)t0a@@k5Z,2026-05-29,Italy
48,Arthur West,user48@musicapp.com,L^XftSAd#zo8,2026-03-03,New Caledonia
49,Donald Schultz,user49@musicapp.com,RLW*d5Mtf3L(,2022-12-15,Bhutan
50,Maurice Brooks,user50@musicapp.com,#&*gCTcTC)E7,2024-05-09,Netherlands Antilles
